3M,1Y,5Y,10Y
3M,1Y,5Y,10Y
0.12,0.13,0.15,0.25
-0.1,-0.1,-0.1,-0.1
-0.18,-0.18,-0.02,-0.02
-0.18,-0.18,-0.02,-0.02
